Mnemonic  ,  Occurrences  ,  File Count
VPSRAW  ,  224  ,  4
ORPS  ,  223  ,  69
MOVBE  ,  216  ,  12
ANDN  ,  208  ,  12
MOVHPS  ,  205  ,  13
UNPCKHPD  ,  204  ,  35
VPADDB  ,  204  ,  12
VPMOVMSKB  ,  200  ,  98
PCLMULHQHQDQ  ,  188  ,  12
FSCALE  ,  185  ,  109
FEMMS  ,  180  ,  12
FSIN  ,  177  ,  87
SLDT  ,  175  ,  97
CMOVP  ,  172  ,  45
PFSUB  ,  168  ,  12
VPSLLW  ,  168  ,  4
PSLLW  ,  168  ,  4
FPREM  ,  166  ,  162
SUBPS  ,  164  ,  16
FSINCOS  ,  162  ,  26
VPCMPEQB  ,  160  ,  75
VUCOMISD  ,  154  ,  59
VUCOMISS  ,  152  ,  52
VMULPD  ,  150  ,  50
VORPS  ,  150  ,  50
VSTMXCSR  ,  150  ,  50
VDIVSD  ,  150  ,  69
CLASSES  ,  150  ,  1
VAESENCLAST  ,  144  ,  12
VPUNPCKHDQ  ,  144  ,  4
PCMPGTD  ,  142  ,  54
VPSUBQ  ,  141  ,  70
FUCOMI  ,  139  ,  60
CMOVNO  ,  128  ,  64
VXORPS  ,  127  ,  35
PMULUDQ  ,  127  ,  7
PSUBW  ,  120  ,  7
FICOMP  ,  115  ,  91
FCLEX  ,  115  ,  67
FLDPI  ,  114  ,  109
LONGINT  ,  114  ,  1
FIDIVR  ,  112  ,  47
VPSUBW  ,  112  ,  4
VPUNPCKLQDQ  ,  104  ,  4
FIST  ,  103  ,  79
FCOS  ,  96  ,  28
VPSUBD  ,  94  ,  69
CMOVNP  ,  91  ,  50
PFRCP  ,  84  ,  12
FISUBR  ,  83  ,  66
VPCMPEQD  ,  82  ,  7
CMPEQSD  ,  80  ,  42
VORPD  ,  76  ,  8
FCMOVNU  ,  73  ,  73
PFSUBR  ,  72  ,  12
ANDNPS  ,  72  ,  15
VPCLMULHQLQDQ  ,  72  ,  12
FINCSTP  ,  69  ,  65
MOVHLPS  ,  65  ,  27
XRELEASE  ,  65  ,  62
FPATAN  ,  64  ,  16
U  ,  62  ,  7
FICOM  ,  60  ,  35
POINTER  ,  60  ,  1
ANSISTRING  ,  59  ,  1
Z  ,  56  ,  9
PMAXSW  ,  54  ,  26
PUSHF  ,  54  ,  52
VMOVSS  ,  53  ,  53
SGDT  ,  52  ,  52
EMMS  ,  50  ,  28
VADDPD  ,  50  ,  50
VUNPCKLPD  ,  50  ,  50
OUTSW  ,  50  ,  21
FLDENV  ,  50  ,  37
LONGWORD  ,  50  ,  1
VANDPD  ,  50  ,  8
PFACC  ,  48  ,  12
PFRSQRT  ,  48  ,  12
BOOLEAN  ,  48  ,  1
PCLMULLQHQDQ  ,  48  ,  8
POPF  ,  46  ,  45
IO  ,  45  ,  3
PINSRD  ,  45  ,  16
CDC  ,  44  ,  29
FNSTENV  ,  43  ,  32
VROUNDSS  ,  43  ,  41
VPCLMULQDQ  ,  40  ,  12
FRSTOR  ,  39  ,  36
AESIMC  ,  39  ,  13
PINSRB  ,  38  ,  38
HADDPD  ,  38  ,  4
VXORPD  ,  36  ,  9
SYSCALL  ,  35  ,  10
FBSTP  ,  35  ,  27
JECXZ  ,  34  ,  34
CMPNLEPD  ,  34  ,  17
FNSAVE  ,  32  ,  27
PUNPCKHQDQ  ,  32  ,  4
FPTAN  ,  31  ,  16
FCOMI  ,  30  ,  29
MOVUPD  ,  30  ,  13
UI  ,  28  ,  2
FCOMIP  ,  27  ,  20
RCPPS  ,  27  ,  15
FBLD  ,  26  ,  19
FD  ,  26  ,  2
VZEROALL  ,  26  ,  13
TOBJECT  ,  26  ,  1
TCOMPONENT  ,  26  ,  1
ATL  ,  25  ,  15
FXSAVE  ,  25  ,  21
PFCMPGE  ,  24  ,  12
PFCMPGT  ,  24  ,  12
CMPNEQPS  ,  24  ,  12
MAXSD  ,  24  ,  14
SYSTEM  ,  24  ,  1
PADDUSW  ,  24  ,  1
LODSW  ,  23  ,  14
FSAVE  ,  22  ,  22
VADDSS  ,  22  ,  6
FCMOVBE  ,  21  ,  14
LODSQ  ,  20  ,  16
