Principal Component 11,30 40,45 33,42 00,45 50,24 04,00 44,00 41,57 48,00 45,74 24,45 44,45 45,47 00,72 40,05 03,58 75,00 00,57 58,00 49,44 40,24 08,05 66,45 48,70 41,32 40,43 00,01 48,48 03,44 00,08 41,45 40,55 40,00 08,09 00,48 33,40 53,66 44,00 01,41 41,44 39,05 44,45 66,29 45,24 01,49 03,44 73,08 48,48 72,72 48,64 24,01 45,39 41,74 40,42 08,41 23,00 42,41 55,44 38,02 48,44 66,04 44,45 03,00 20,55 38,66 39,05 57,75 30,08 40,57 03,34 24,57 41,77 40,02 00,41 03,41 32,40 49,44 33,00 55,42 01,03 41,55 44,40 32,68 00,56 41,04 48,55 54,00 09,44 03,40 30,40 38,55 24,41 56,56 48,00 73,50 42,45 72,00 70,73 03,03 45,00 29
Principal Component 12,04 00,01 00,02 00,41 00,03 00,74 24,00 10,24 04,01 10,48 01,10 33,45 31,53 48,14 00,48 39,24 10,41 41,00 29,44 24,55 00,48 31,48 29,56 00,05 00,24 24,41 31,08 50,00 41,00 50,56 56,00 56,66 38,57 53,51 56,02 48,46 04,31 41,40 04,29 45,00 48,57 57,66 28,00 57,11 00,10 72,41 08,47 00,66 73,08 01,20 74,50 04,50 53,55 41,13 31,72 40,48 00,02 50,50 08,00 79,41 56,41 75,00 04,10 01,46 00,38 00,44 01,52 50,01 74,50 57,00 55,48 69,01 45,24 44,01 57,50 68,49 39,00 49,49 01,04 02,64 02,00 39,57 50,41 21,05 50,53 40,20 00,74 00,41 32,41 57,56 68,00 03,51 51,54 00,01 51,58 00,74 39,03 44,24 01,74 57,55 53
Principal Component 13,46 00,55 46,58 55,24 04,01 48,04 00,45 33,72 48,09 00,48 33,40 08,66 44,03 48,57 48,00 59,08 00,40 38,00 48,05 00,59 59,74 24,48 08,00 49,40 00,05 48,00 33,00 39,41 00,48 43,13 00,00 68,50 00,04 02,75 08,00 75,42 08,00 44,44 24,01 74,01 45,08 50,52 00,02 00,10 72,08 75,02 74,39 75,78 48,42 75,53 00,55 48,44 39,74 09,45 00,29 45,75 20,50 04,19 00,44 38,13 31,70 00,56 53,00 56,72 03,24 08,40 49,51 66,55 57,55 56,59 50,40 53,00 74,57 57,53 53,09 48,69 00,74 48,00 50,53 56,10 55,40 04,03 49,10 75,31 41,75 05,23 45,01 41,48 00,54 24,08 56,57 00,74 41,24 00,03 40,00 52,03 45,00 69,41 75,40 57,73 48
Principal Component 14,55 46,58 55,46 00,48 39,45 31,01 00,48 31,43 00,53 48,24 20,44 00,66 38,41 41,24 40,56 00,24 48,38 48,48 29,66 66,66 41,41 31,40 55,08 48,55 41,57 53,30 40,00 66,45 00,55 48,49 01,00 79,48 55,41 55,49 39,00 41,49 31,48 21,42 00,56 57,66 72,01 41,79 48,48 01,66 73,24 50,56 56,58 00,00 31,55 55,31 40,57 55,33 33,48 48,04 74,48 03,44 01,01 01,00 68,40 48,49 21,49 29,41 29,57 43,41 21,29 44,48 41,64 24,44 31,55 53,44 03,45 01,38 41,00 29,44 29,53 57,08 41,29 74,44 21,03 00,00 01,48 09,50 08,57 41,04 03,01 66,02 41,66 69,04 01,33 48,00 45,05 66,66 48,05 41,33 40,48 42,00 42,41 57,65 48,58 48,03 41
Principal Component 15,04 00,05 00,55 48,24 04,54 24,24 40,08 48,00 59,09 00,24 48,48 55,66 66,74 24,40 55,31 40,45 31,59 59,48 31,30 40,40 48,48 00,55 00,00 33,48 39,50 00,00 49,00 50,64 24,66 38,00 68,00 56,52 00,41 55,24 50,43 00,00 44,53 55,58 00,54 00,41 41,53 00,55 41,33 40,53 48,57 53,56 57,08 00,24 00,57 41,00 51,56 56,00 66,24 08,08 40,49 01,41 08,42 08,55 55,58 01,56 00,79 48,48 21,00 31,45 33,00 30,57 55,48 48,58 48,00 79,78 48,59 50,00 52,49 31,45 00,66 41,50 08,53 57,00 57,66 44,66 05,34 24,10 55,23 75,41 31,41 03,48 08,38 00,55 56,72 48,41 00,48 29,66 72,00 55,50 51,29 44,33 33,65 00,08 01,51 52,48 49
Principal Component 16,24 04,00 41,03 00,00 66,66 41,45 33,51 66,02 00,00 59,31 40,00 44,41 41,44 00,53 48,00 45,76 66,48 03,00 49,54 24,64 24,33 40,02 74,69 00,55 48,41 00,01 00,74 24,02 48,59 59,45 00,00 33,41 55,03 75,75 20,75 24,48 01,40 53,00 30,00 31,49 00,66 66,04 48,46 00,03 50,05 00,13 31,31 45,50 66,55 41,40 00,74 03,35 00,74 48,74 05,24 00,41 32,24 08,00 64,48 69,31 41,24 64,73 08,03 74,04 02,49 03,41 23,00 69,00 42,40 32,74 41,01 75,47 00,08 41,34 24,24 44,66 28,40 04,48 31,41 31,76 56,69 01,56 53,59 50,68 39,45 31,10 72,66 30,48 29,66 10,04 74,04 41,66 74,05 41,03 31,56 00,44 39,45 04,57 41,29 41,01 56
Principal Component 17,55 48,40 55,24 04,01 00,66 66,48 55,00 10,03 48,40 48,50 08,01 10,66 44,46 00,64 24,10 33,40 08,43 00,48 33,72 48,75 08,53 48,41 41,10 00,24 50,00 49,74 48,57 00,01 48,00 29,57 41,14 00,45 00,45 31,40 04,53 40,42 00,56 57,48 31,05 48,66 38,57 48,00 74,58 48,24 40,09 48,48 43,24 44,78 48,01 01,45 50,75 05,41 55,48 48,55 41,79 48,24 01,72 03,24 00,41 56,40 01,41 01,10 55,08 00,40 00,51 51,05 01,00 08,51 56,51 40,48 05,49 01,08 50,41 08,56 00,75 04,43 40,66 05,19 00,04 03,74 08,48 08,04 01,53 56,78 29,41 75,40 57,44 24,74 05,55 55,59 00,55 08,18 00,00 79,01 49,41 57,40 38,13 00,57 53,54 24,03 49
Principal Component 18,08 48,45 33,00 44,24 48,00 10,00 49,00 41,09 00,41 08,40 00,42 08,08 00,10 00,01 10,41 55,10 33,54 24,11 00,41 03,14 00,53 40,00 45,13 00,20 00,00 01,24 44,00 00,41 33,19 00,45 31,00 03,08 50,08 01,55 41,00 02,48 39,24 00,05 01,24 10,75 08,24 50,64 24,24 24,51 40,35 48,66 38,48 31,74 24,28 00,00 72,41 75,19 40,51 51,48 40,78 00,01 01,42 00,52 40,48 08,05 00,51 56,18 00,24 20,55 46,29 74,66 28,64 64,58 55,32 00,40 38,59 74,58 54,34 24,64 02,43 48,74 00,48 29,56 00,44 33,49 01,50 08,66 57,00 29,59 00,24 74,49 08,03 44,64 00,58 00,41 44,24 02,69 01,57 53,04 41,24 40,01 51,48 21,24 64,58 49,00 39
Principal Component 19,43 00,49 00,48 33,00 00,48 00,30 48,78 00,40 48,00 33,72 44,24 40,72 48,50 48,48 48,38 48,10 72,77 00,28 43,53 40,40 00,33 40,33 05,66 44,24 50,41 56,01 48,58 48,31 40,00 68,40 50,02 00,56 41,03 48,30 00,50 43,00 30,24 20,52 00,48 43,09 48,53 43,50 51,78 48,31 41,57 50,40 55,41 57,56 56,53 55,39 44,24 24,00 51,68 48,66 47,38 00,56 68,66 46,57 48,11 00,24 02,40 08,59 66,24 53,19 00,57 68,01 24,52 57,68 39,51 43,74 00,00 64,79 44,75 48,04 04,50 41,40 38,71 00,00 52,70 00,72 66,03 73,66 24,46 01,28 00,13 33,01 57,24 10,66 00,66 45,13 00,63 00,39 40,04 66,53 57,55 57,48 23,33 48,64 64,75 57,24 74
Principal Component 20,33 09,58 55,55 46,55 48,69 00,54 24,40 55,00 69,05 00,48 33,53 00,00 00,24 24,14 00,03 48,55 00,00 66,47 00,24 44,01 48,66 44,64 24,48 55,69 01,72 48,59 00,24 10,66 66,74 24,78 00,40 00,24 40,41 56,64 00,34 24,56 00,72 40,66 41,24 39,59 47,39 41,05 48,57 00,24 02,47 53,40 48,09 48,52 00,00 31,53 48,74 40,48 72,48 00,41 57,46 53,56 41,24 64,74 48,57 41,24 74,48 43,48 69,51 66,41 41,41 00,44 00,10 72,13 00,00 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
